date,部门,详情链接,标题,下载链接,附件名,下载次数
2023-07-08,【综合科】,https://jwch.fzu.edu.cn/info/1035/12884.htm,教务处关于2023年暑假用印安排的通知,,,
2023-07-05,【实践科】,https://jwch.fzu.edu.cn/info/1039/12881.htm,关于公布福州大学2023届本科生优秀毕业设计（论文）名单的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13037663,附件：福州大学2023届优秀本科生毕业设计（论文）名单.doc,1936
2023-07-03,【综合科】,https://jwch.fzu.edu.cn/info/1035/12874.htm,关于召开2022-2023学年春季学期期末本科教育教学工作会议的通知,,,
2023-06-30,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12870.htm,关于做好期末复习考试及下学期开学等工作的通知,,,
2023-06-30,【质量办】,https://jwch.fzu.edu.cn/info/1040/12868.htm,关于举办福州大学第四十四场“教学有道”研讨活动的通知,,,
2023-06-29,【实践科】,https://jwch.fzu.edu.cn/info/1039/12867.htm,关于参加“2023高教社杯全国大学生数学建模竞赛”报名与集训的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13031762,附件：2023高教社杯全国大学生数学建模竞赛福州大学队伍的报名操作流程.pdf,3869
2023-06-28,【质量办】,https://jwch.fzu.edu.cn/info/1040/12864.htm,关于开展2023年度教师本科教学综合测评工作的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13003807,关于开展2023年度教师本科教学综合测评工作的通知.doc,457
2023-06-27,【计划科】,https://jwch.fzu.edu.cn/info/1038/12863.htm,关于核对2023-2024学年第一学期通识教育选修课开课信息的有关通知,,,
2023-06-26,【实践科】,https://jwch.fzu.edu.cn/info/1039/12862.htm,关于公布2023年国家级、省级大学生创新创业训练计划推荐立项项目的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13002269,"2023年国家级、省级大学生创新创业训练计划推荐项目汇总表.doc
福州大学第29期本科生科研训练计划立项项目汇总表.doc","2916
2020"
2023-06-21,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12850.htm,关于2022-2023学年第二学期大学英语拓展课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999540,202202英语拓展课考试7.3上、下午.xls,305
2023-06-21,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12848.htm,关于2022-2023学年第二学期《大学物理A（上）、B（上）、C》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999539,"2202大学物理A、C 期末考7.6上午.xlsx
2202大学物理B 期末考7.6下午.xlsx","259
225"
2023-06-20,【实践科】,https://jwch.fzu.edu.cn/info/1039/12847.htm,关于举办2023年福州大学大学生工程实践与创新能力大赛暨2023年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999431,附件3：2023年福州大学大学生工程实践与创新能力大赛命题与运行.pdf,489
2023-06-20,【实践科】,https://jwch.fzu.edu.cn/info/1039/12846.htm,关于公布第十四届企业经营模拟沙盘对抗赛获奖名单的通知,,,
2023-06-20,【实践科】,https://jwch.fzu.edu.cn/info/1039/12845.htm,关于公布2023年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,,,
2023-06-20,【实践科】,https://jwch.fzu.edu.cn/info/1039/12844.htm,关于公布第二十届程序设计竞赛获奖名单的通知,,,
2023-06-20,【实践科】,https://jwch.fzu.edu.cn/info/1039/12843.htm,关于公布2023年第二十三届数学竞赛获奖名单的通知,,,
2023-06-19,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12842.htm,关于2023年端午节放假课程调整的通知,,,
2023-06-19,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12841.htm,关于2023-2024学年第一学期本科生学期选课的通知,,,
2023-06-15,【质量办】,https://jwch.fzu.edu.cn/info/1040/12835.htm,关于举办福州大学第四十三场“教学有道”研讨活动的通知,,,
