日期,年份,内容,标题,事件
1月1日,公元前45年,罗马共和国开始使用儒略历,,event
1月1日,1515年,法国瓦卢瓦王朝国王、被称为“人民之父”的路易十二逝世,,event
1月1日,1823年,匈牙利诗人裴多菲出生,,event
1月1日,1854年,英国人类学家J.G.弗雷泽出生,,event
1月1日,1863年,现代国际奥林匹克运动创始人皮埃尔·德·顾拜旦出生,,event
1月1日,1864年,中国画家、篆刻家齐白石出生,,event
1月1日,1894年,德国物理学家海因里希·鲁道夫·赫兹逝世,,event
1月1日,1912年,中华民国正式成立,,event
1月1日,1927年,诺贝尔经济学奖得主弗农·史密斯出生,,event
1月1日,1995年,世界贸易组织正式运作,,event
1月1日,1997年,联合国第七任秘书长科菲·安南上任,,event
1月1日,2006年,中华人民共和国废止农业税,,event
1月1日,2009年,挪威成为世界上第六个承认同性婚姻的国家,,event
1月1日,2009年,南非反种族隔离白人议员海伦·苏斯曼逝世,,event
1月2日,1492年,西班牙军队攻下格拉纳达,,event
1月2日,1822年,热力学的奠基人之一鲁道夫·克劳修斯出生,,event
1月2日,1860年,奥本勒维耶宣布发现了“祝融星”,,event
1月2日,1875年,中国社会活动家、爱国民主人士沈钧儒 出生,,event
1月2日,1880年,中国报业家史量才出生,,event
1月2日,1920年,美国科幻小说作家艾萨克·阿西莫夫出生,,event
1月2日,1933年,日本推理小说作家森村诚一出生,,event
1月2日,1952年,中国人民志愿军战士罗盛教逝世,,event
1月2日,1959年,美国星尘号太空探测器返回地球,,event
1月2日,1959年,世界上第一个星际探测器月球1号发射,,event
1月2日,1992年,中国与乌兹别克斯坦建交,,event
1月2日,2005年,中国农业教育家周明牂逝世,,event
1月2日,2006年,巴布亚新几内亚总理比尔·史凯特逝世,,event
1月2日,2009年,哈马斯高级领导人尼扎尔·拉扬逝世,,event
1月2日,2011年,美国陆军第101空降师理查德·温特斯逝世,,event
1月3日,1777年,乔治·华盛顿率领美国军队战胜英国军队,,event
1月3日,1823年,英国工程师罗伯特·怀特黑德出生,,event
1月3日,1868年,日本明治维新开始,,event
1月3日,1876年,德意志民主共和国第一任总统威廉·皮克出生,,event
1月3日,1883年,英国前首相克莱门特·理查·艾德礼出生,,event
1月3日,1892年,英国作家约翰·罗纳德·瑞尔·托尔金出生,,event
1月3日,1923年,捷克斯洛伐克作家哈谢克逝世,,event
1月3日,1958年,英国在加勒比海上的十个殖民地合并,,event
1月3日,1969年,赛车手迈克尔·舒马赫出生,,event
1月3日,1973年,中国真菌学家戴芳澜逝世,,event
1月3日,1999年,中国著名政治家邓传楷逝世,,event
1月3日,2004年,勇气号探测器成功登陆火星,,event
1月3日,2005年,台湾海峡交流基金会董事长辜振甫病逝,,event
1月3日,2009年,开国中将李作鹏逝世,,event
1月4日,1643年,“物理学之父”、发现和阐述三大运动定律的艾萨克·牛顿出生,,event
1月4日,1785年,《格林童话》作者雅各布·格林出生,,event
1月4日,1940年,诺贝尔物理学奖得主约瑟夫森出生,,event
1月4日,1951年,著名作家史铁生出生,,event
1月4日,1960年,法国作家阿尔贝·加缪车祸去世,,event
1月4日,1961年,诺贝尔物理学奖得主埃尔温·薛定谔逝世,,event
1月4日,1965年,作家托马斯·斯特尔那斯·艾略特逝世,,event
1月4日,1969年,消除种族歧视公约正式生效,,event
1月4日,1983年,台湾教育家、政治家蔡培火逝世,,event
1月4日,1985年,美国总统里根实行星球大战计划,,event
1月4日,1991年,中国台湾著名女作家三毛逝世,,event
1月4日,2004年,火星漫游车勇气号在火星表面成功着陆,,event
1月4日,2010年,摩天大楼哈利法塔正式落成启用,,event
1月5日,1477年,勃艮第公爵查理二世逝世,,event
1月5日,1587年,我国明代旅行家徐霞客出生,,event
1月5日,1588年,明朝将领戚继光逝世,,event
1月5日,1794年,诺贝尔文学奖得主奥伊肯出生,,event
1月5日,1895年,X射线照片柏林物理学会会议上被展出,,event
1月5日,1909年,逻辑学家斯蒂芬·科尔·克莱尼出生,,event
1月5日,1910年,法国经济学家、开创了一般均衡理论的里昂·瓦尔拉斯逝世,,event
1月5日,1922年,南极探险家欧内斯特·沙克尔顿逝世,,event
1月5日,1928年,美国第42任副总统沃尔特·蒙代尔出生,,event
1月5日,1930年,毛泽东撰写《星星之火，可以燎原》,,event
1月5日,1933年,金门大桥在旧金山湾开工,,event
1月5日,1970年,诺贝尔物理学奖得主马克斯·玻恩逝世,,event
1月5日,1990年,《中华人民共和国环境保护法》施行,,event
1月5日,2005年,阋神星被美国天文学家发现,,event
1月5日,2007年,中国歼-10战机研制成功,,event
1月6日,1412年,法国国民英雄圣女贞德出生,,event
1月6日,1838年,美国人塞缪尔·莫尔斯首次公开示范电报,,event
1月6日,1852年,布莱叶点字法的发明者布莱叶逝世,,event
1月6日,1854年,英国名侦探夏洛克·福尔摩斯出生,,event
1月6日,1883年,黎巴嫩阿拉伯作家纪伯伦出生,,event
1月6日,1884年,奥地利现代遗传学奠基人孟德尔因心脏病逝世,,event
1月6日,1903年,中国著名语言大师梁实秋出生,,event
1月6日,1907年,蒙特梭利在罗马创办第一所儿童之家,,event
1月6日,1912年,魏格纳首次提出了大陆漂移说的理论,,event
1月6日,1918年,集合论的创立人格奥尔格·康托尔逝世,,event
1月6日,1919年,美国第26届总统西奥多·罗斯福逝世,,event
1月6日,1927年,中国国民政府收回九江英租界,,event
1月6日,1959年,国际海事组织成立,,event
1月6日,1971年,美国首次合成了人的生长激素,,event
1月6日,1972年,中国军事家陈毅逝世,,event
1月7日,1800年,美国第13任总统米勒德·菲尔莫尔出生,,event
1月7日,1859年,曾任中华民国代理大总统冯国璋出生,,event
1月7日,1862年,俄国作家鲁巴金出生,,event
1月7日,1871年,法国政治家埃米尔·博雷尔出生,,event
1月7日,1912年,南非非洲人国民大会成立,,event
1月7日,1920年,澳大利亚第一任总理埃德蒙·巴顿逝世,,event
1月7日,1927年,苏联教学论专家巴班斯基出生,,event
1月7日,1932年,马其诺防线的计划者安德烈·马其诺逝世,,event
1月7日,1972年,中国第一枚实用氢弹试验成功，氢弹的杀伤破坏比原子弹大得多。,,event
1月7日,1974年,中国人民解放军大将王树声因病医治无效，在北京逝世,,event
1月7日,1980年,美国作家亨利·米勒逝世,,event
1月7日,1991年,林莉获我国第一个世界游泳冠军,,event
1月7日,2013年,中国第三代导演李俊逝世,,event
1月7日,2014年,香港电视广播有限公司主席邵逸夫逝世,,event
1月8日,1037年,中国宋代诗人苏轼出生,,event
1月8日,1642年,意大利著名天文学家、物理学家伽利略逝世,,event
1月8日,1823年,英国生物学家华莱士出生,,event
1月8日,1854年,《天演论》译著者严复出生,,event
1月8日,1855年,印尼著名爱国英雄蒂博·尼哥罗逝世,,event
1月8日,1905年,"世界上最大的钻石""库利南""在南非发现",,event
1月8日,1926年,伊本·沙特发动政变，自立为沙特国王,,event
1月8日,1935年,猫王埃尔维斯·普雷斯利出生,,event
1月8日,1942年,英国物理学家斯蒂芬·威廉·霍金出生,,event
1月8日,1959年,戴高乐就任法兰西第五共和国首任总统,,event
1月8日,1976年,中国总理周恩来逝世,,event
1月8日,1994年,中国外汇交易中心在深圳成立,,event
1月8日,1996年,法国第21届总统弗朗索瓦·密特朗逝世,,event
1月8日,2005年,中国人民解放军将领宋任穷逝世,,event
1月9日,1127 年,金国攻陷宋朝首都开封，史称靖康之耻,,event
1月9日,1283 年,南宋抗元英雄文天祥逝世,,event
1月9日,1893 年,五虎上将顾祝同出生,,event
1月9日,1896 年,中国桥梁工程专家茅以升出生,,event
1月9日,1905 年,巴黎公社女英雄路易斯·米歇尔逝世,,event
1月9日,1908 年,女权主义者西蒙娜·德·波伏娃出生,,event
1月9日,1913 年,美国总统理查德·米尔豪斯·尼克松出生,,event
1月9日,1942 年,日本攻占吉隆坡,,event
1月9日,1942年,波兰密码学家杰尔兹·罗佐基逝世,,event
1月9日,1959 年,诺贝尔和平奖得主里戈贝尔塔门楚出生,,event
1月9日,1968 年,阿拉伯石油输出国组织成立,,event
1月9日,1972 年,中国建筑学家梁思成逝世,,event
1月9日,1998 年,诺贝尔化学奖得主福井谦一逝世,,event
1月9日,2009年,毒枭陈炳锡在广州市被中国政府处死刑,,event
1月9日,2013年,诺贝尔经济学奖得主詹姆斯·麦吉尔·布坎南逝世,,event
1月10日,1209 年,蒙古帝国大汗孛儿只斤·蒙哥出生,,event
1月10日,1863 年,战争时期曾被用作地下掩体的、世界最早的伦敦地铁通车,,event
1月10日,1914 年,中华民国政治人物俞国华出生,,event
1月10日,1914 年,商务印书馆创办人夏瑞芳逝世,,event
1月10日,1920年,国际联盟成立,,event
1月10日,1926年,中国报刊出版家英敛之逝世,,event
1月10日,1926年,诺贝尔物理学奖罗伯特·威尔逊出生,,event
1月10日,1938 年,现代计算机科学鼻祖唐纳德·克努特出生,,event
1月10日,1945 年,德国解剖学家冈瑟·冯·哈根斯出生,,event
1月10日,1949 年,淮海战役结束,,event
1月10日,1971 年,法国服装设计师加布里埃·香奈儿逝世,,event
1月10日,2001年,中国神舟二号飞船发射成功,,event
1月10日,2002 年,中国“民俗学之父”钟敬文逝世,,event
1月10日,2003 年,朝鲜宣布退出《不扩散核武器条约》,,event
1月10日,2009年,中国著名语言学家吴为章逝世,,event
1月11日,1295年,元朝政治家、军事家伯颜逝世,,event
1月11日,1569 年,英格兰首次发行彩票,,event
1月11日,1754年,《儒林外史》作者吴敬梓逝世,,event
1月11日,1755 年,美国经济学家亚历山大·汉密尔顿出生,,event
1月11日,1787 年,天王星的两颗卫星被发现,,event
1月11日,1800 年,直流发电机之父耶德利克·阿纽什出生,,event
1月11日,1842 年,美国心理学家威廉·詹姆斯出生,,event
1月11日,1868 年,中国教育家和思想家、北大校长蔡元培出生,,event
1月11日,1901 年,中国革命家杨衢云逝世,,event
1月11日,1922 年,班廷医生首次使用胰岛素治疗糖尿病,,event
1月11日,1928 年,英国最杰出的乡土小说家托马斯·哈代逝世,,event
1月11日,1934 年,加拿大总理让·克雷蒂安出生,,event
1月11日,1982 年,邓小平首次提出一国两制的概念,,event
1月11日,2008年,登顶珠峰的第一人埃德蒙·希拉里逝世,,event
1月11日,2010 年,智利正式签署加入经济合作与发展组织的协定,,event
1月12日,1628年,十七世纪法国作家夏尔·佩罗出生,,event
1月12日,1665年,法国律师、数学家皮耶·德·费玛逝世,,event
1月12日,1729年,爱尔兰政治家埃德蒙·伯克出生,,event
1月12日,1791年,四大徽班进北京，京剧开始形成,,event
1月12日,1869年,中国思想家章太炎出生,,event
1月12日,1875年,清朝同治帝爱新觉罗·载淳在北京紫禁城养心殿逝世,,event
1月12日,1876年,美国作家杰克·伦敦出生,,event
1月12日,1947年,山西文水县革命女英雄刘胡兰因叛徒出卖壮烈牺牲,,event
1月12日,1949年,第一次中东战争结束,,event
1月12日,1949年,日本作家村上春树出生,,event
1月12日,1976年,英国侦探小说作家阿加莎·克里斯蒂逝世,,event
1月12日,1996年,中国民生银行开业,,event
1月12日,2001年,惠普公司创始人兼CEO威廉·休利特逝世,,event
1月12日,2005年,美国成功发射彗星探测飞船深度撞击号,,event
1月12日,2010年,海地首都太子港附近发生里氏7.0级地震,,event
1月13日,567 年,大唐帝国开国皇帝，太宗李世民之父唐高祖李渊出生,,event
1月13日,888 年,法兰克皇帝查理三世逝世,,event
1月13日,1716 年,《康熙字典》成书,,event
1月13日,1847 年,美国与墨西哥签署条约在加利福尼亚停战,,event
1月13日,1864 年,诺贝尔物理学奖获得者威廉·维恩出生,,event
1月13日,1878 年,中国军事、政治人物陈炯明出生,,event
1月13日,1904年,日俄战争爆发,,event
1月13日,1906 年,中国语言学家、文字学家周有光出生,,event
1月13日,1906 年,俄国物理学家亚历山大·波波夫逝世,,event
1月13日,1908 年,中、英、德签订《津浦铁路借款合同》,,event
1月13日,1923 年,法国政治家亚历山大·里博逝世,,event
1月13日,1927年,诺贝尔生理医学奖得主悉尼·布伦纳出生,,event
1月13日,1978年,美国政治家、副总统休伯特·汉弗莱逝世,,event
1月13日,1988年,蒋经国在台北逝世,,event
1月13日,1993 年,《禁止化学武器公约》签订,,event
1月14日,1539 年,西班牙宣布占领古巴,,event
1月14日,1742 年,英国天文学家、地理学家、数学家埃德蒙多·哈雷逝世,,event
1月14日,1773 年,英国著名外交官阿美士德出生,,event
1月14日,1784 年,美国独立战争正式结束,,event
1月14日,1875 年,诺贝尔和平奖得主阿尔贝特·施韦泽出生,,event
1月14日,1894 年,苏联著名新闻记者、作家伊利亚·爱伦堡出生,,event
1月14日,1925 年,日本剧作家剧作家，记者，电影制作人，电影演员三岛由纪夫出生,,event
1月14日,1928 年,英国作家托马斯·哈代逝世,,event
1月14日,1943 年,卡萨布兰卡会议在摩洛哥举行,,event
1月14日,1944 年,日本政治家田中真纪子出生,,event
1月14日,1949 年,新精神分析学派代表人物哈里·斯塔克·沙利文逝世,,event
1月14日,1969 年,美国“企业”号航母上发生连锁爆炸,,event
1月14日,1980 年,《足球世界》杂志创刊,,event
1月14日,1983年,麦当劳创始人雷·克洛克逝世,,event
1月14日,1988 年,苏联政治家马林科夫逝世,,event
1月15日,1559年,英国女王伊丽莎白一世加冕,,event
1月15日,1622年,法国剧作家莫里哀出生,,event
1月15日,1643年,日本江户时代的大名立花宗茂逝世,,event
1月15日,1759年,大英博物馆正式对公众开放,,event
1月15日,1891年,苏联诗人曼德尔施塔姆出生,,event
1月15日,1897年,中国现代作家徐志摩出生于浙江省海宁市硖石镇,,event
1月15日,1901年,磨冰机发明人弗兰克·赞博尼出生,,event
1月15日,1919年,波兰裔德国女革命家罗莎·卢森堡逝世,,event
1月15日,1929年,美国人权运动领袖马丁·路德·金出生,,event
1月15日,1935年,遵义会议会召开,,event
1月15日,1943年,美国国防部的五角大楼竣工,,event
1月15日,1950年,美国空军五星上将亨利·哈里·阿诺德病逝,,event
1月15日,1970年,中国政治家谢雪红逝世,,event
1月15日,1971年,伊迪·阿明发动政变，推翻米尔顿·奥博特政权,,event
1月15日,2007年,中国政治家薄一波逝世,,event
1月16日,972年,朝及契丹皇帝辽圣宗耶律隆绪出生,,event
1月16日,1794年,英国史学家爱德华·吉本逝世,,event
1月16日,1838年,德国哲学家弗朗兹·布伦塔诺出生,,event
1月16日,1885年,中国作家、鲁迅之弟周作人出生于浙江绍兴,,event
1月16日,1891年,法国作曲家雷奥·德利勃逝世,,event
1月16日,1906年,第一个探索无线电世界的科学家，无线电发明者波波夫逝世,,event
1月16日,1909年,人类发现南磁极,,event
1月16日,1931年,德国政治家约翰内斯·劳出生,,event
1月16日,1944年,德怀特·戴维·艾森豪威尔被任命为美国盟军总司令,,event
1月16日,1957年,意大利指挥家托斯卡尼尼逝世,,event
1月16日,1969年,苏联两艘宇宙飞船第一次完成空中对接,,event
1月16日,1974年,英国超级名模凯特·摩丝出生,,event
1月16日,1983年,中国首例人工授精婴儿在长沙诞生,,event
1月16日,1986年,原中国民主同盟代主席胡愈之逝世,,event
1月16日,2006年,非洲女总统埃伦·约翰逊－瑟利夫宣誓就职,,event
1月17日,395年,罗马帝国分裂为西罗马帝国和东罗马帝国,,event
1月17日,1600年,剧作家卡尔德隆·巴尔卡出生,,event
1月17日,1676年,歌剧作曲家弗朗切斯科·卡瓦利逝世,,event
1月17日,1706年,美国政治家本杰明·富兰克林出生于美国麻省波士顿,,event
1月17日,1751年,意大利巴洛克作曲家托马索·阿尔比诺尼逝世,,event
1月17日,1786年,法国天文学家梅尚发现了恩克彗星,,event
1月17日,1820年,英国著名女作家安妮·勃朗特出生,,event
1月17日,1863年,英国第52任首相劳合·乔治出生,,event
1月17日,1893年,美国总统拉瑟福德·伯查德·海斯逝世,,event
1月17日,1911年,诺贝尔经济学奖得主乔治·斯蒂格勒出生,,event
1月17日,1945年,瑞典外交官瓦伦堡失踪，引发瓦伦堡事件,,event
1月17日,1978年,著名国学大师吴宓逝世,,event
1月17日,1991年,海湾战争爆发,,event
1月17日,1997年,发现了冥王星的克莱德·威廉·汤博逝世,,event
1月17日,2002年,刚果戈马市尼拉贡戈火山喷发,,event
1月18日,1367年,西班牙殖民者佛朗西斯科·皮萨罗建立利马城,,event
1月18日,1689年,法国启蒙思想家查理·路易·孟德斯鸠出生于波尔多,,event
1月18日,1835年,俄国音乐家居伊出生,,event
1月18日,1862年,美国第十任总统，辉格党人约翰·泰勒逝世,,event
1月18日,1868年,中国民族英雄霍元甲出生,,event
1月18日,1871年,德意志帝国成立,,event
1月18日,1902年,慈禧太后第一次撤帘露面，公开召见各国驻华使节,,event
1月18日,1915年,日本公使向袁世凯递交“二十一条”,,event
1月18日,1931年,韩国第11、12任总统全斗焕出生,,event
1月18日,1936年,英国作家罗德亚德·吉普林逝世,,event
1月18日,1982年,中国民族学家黄现璠逝世,,event
1月18日,1992年,邓小平南方视察，发表著名的“南方谈话”,,event
1月18日,2001年,民主刚果总统洛朗·德西雷·卡比拉逝世,,event
1月18日,2005年,空中客车A380在法国隆重面世,,event
1月18日,2005年,汉城正式改名为首尔,,event
1月19日,1655 年,中国清代词人纳兰性德出生,,event
1月19日,1736年,瓦特蒸汽机的发明者瓦特出生,,event
1月19日,1806 年,英国军队占领好望角,,event
1月19日,1807 年,美国军事家罗伯特·爱德华·李出生,,event
1月19日,1809 年,美国作家埃德加·爱伦·坡出生,,event
1月19日,1903 年,法国宣布举办第一届环法自行车赛,,event
1月19日,1903年,德国作曲家鲍里斯·布拉赫尔出生,,event
1月19日,1917年,美国海军特级上将乔治·杜威逝世,,event
1月19日,1929 年,戊戌变法主要领导人、资产阶级维新派主要人物梁启超逝世,,event
1月19日,1934 年,伪满洲国在日本关东军的指使下恢复帝制,,event
1月19日,1939年,中国著名物理学家何育杰逝世,,event
1月19日,1949年,《铁流》作者绥拉菲莫维奇逝世,,event
1月19日,1960 年,波音707首次通航,,event
1月19日,1966 年,英迪拉·甘地出任印度总理,,event
1月19日,2006 年,贵州省前省长李立逝世,,event
1月20日,772年,唐朝诗人白居易出生,,event
1月20日,1259年,英格兰议会首次举行会议,,event
1月20日,1320年,瓦迪斯瓦夫一世在克拉科夫加冕成为国王,,event
1月20日,1425年,室町幕府第8代征夷大将军足利义政出生,,event
1月20日,1745年,罗马帝国皇帝查理七世逝世,,event
1月20日,1775年,法国著名物理学家安德烈·玛丽·安培出生,,event
1月20日,1876年,波兰著名钢琴家约瑟夫·霍夫曼出生,,event
1月20日,1896年,贝克勒尔发现天然放射现象,,event
1月20日,1936年,英国国王乔治五世逝世,,event
1月20日,1938年,川军将领刘湘逝世,,event
1月20日,1949年,中国著名演员斯琴高娃出生,,event
1月20日,1955年,中华民国将军王生明逝世,,event
1月20日,1993年,美国第42任总统克林顿就职,,event
1月20日,1993年,英国著名演员奥黛丽·赫本因阑尾癌病逝，享年63岁,,event
1月20日,2009年,美国首位非洲裔总统奥巴马正式宣誓就职,,event
1月21日,1793 年,法国国王路易十六被处决,,event
1月21日,1870 年,俄国杰出的哲学家、作家赫尔岑逝世,,event
1月21日,1885 年,日本陆军大将板垣征四郎出生,,event
1月21日,1887年,格式塔心理学的创始人霍斯特·克勒出生,,event
1月21日,1892年,英国著名天文学家约翰·柯西·亚当斯逝世,,event
1月21日,1905 年,Dior品牌创始人克里斯汀·迪奥出生,,event
1月21日,1911 年,美国首次提出癌肿瘤是病毒所致,,event
1月21日,1924年,苏联政治家列宁逝世,,event
1月21日,1941年,西班牙男高音歌唱家普拉西多·多明戈出生,,event
1月21日,1950 年,英国作家乔治·奥威尔逝世,,event
1月21日,1951 年,阿尔卑斯山发生巨大雪崩,,event
1月21日,1953 年,微软创始人之一保罗·艾伦出生,,event
1月21日,1954 年,核动力潜艇 “鹦鹉螺”号下水,,event
1月21日,1960 年,人类第一次将动物送入太空,,event
1月21日,2006 年,香港政治人物郭伯伟逝世,,event
1月22日,754 年,鉴真东渡到达日本,,event
1月22日,1561 年,英国文艺复兴时期散文家、哲学家弗朗西斯·培根出生,,event
1月22日,1729 年,剧作家戈特霍尔德·埃夫莱姆·莱辛出生,,event
1月22日,1788 年,英国诗人、《唐璜》的作者乔治·戈登·拜伦出生,,event
1月22日,1865 年,德国物理学家弗里德里希·帕邢出生,,event
1月22日,1901年,英国以及英国汉诺威王朝的最后一位君主维多利亚女王逝世,,event
1月22日,1908 年,物理学家列夫·达维多维奇·朗道出生,,event
1月22日,1919 年,瑞典画家卡尔·拉森逝世,,event
1月22日,1924 年,拉姆齐·麦克唐纳就任英国首相,,event
1月22日,1928 年,朱德、陈毅领导湘南起义,,event
1月22日,1942年,中国著名作家萧红在香港病逝,,event
1月22日,1944 年,二战期间盟军在意大利安齐奥登陆,,event
1月22日,1963 年,法国、联邦德国合作条约签订,,event
1月22日,1972 年,英国、丹麦和挪威加入欧洲经济共同体,,event
1月22日,1973年,美国总统林登·贝恩斯·约翰逊去世,,event
1月22日,2009 年,中国著名武侠小说作家梁羽生逝世,,event
1月23日,599 年,唐朝第二位皇帝唐太宗李世民出生,,event
1月23日,1368 年,明太祖朱元璋在南京即位,,event
1月23日,1783 年,法国十九世纪杰出的作家司汤达出生,,event
1月23日,1806 年,英国最年轻的首相小威廉·皮特逝世,,event
1月23日,1828 年,日本明治维新的领导人西乡隆盛出生,,event
1月23日,1862 年,德国著名数学家戴维·希尔伯特出生,,event
1月23日,1907 年,获得诺贝尔物理学奖的汤川秀树出生,,event
1月23日,1908 年,美国作曲家麦克道尔逝世,,event
1月23日,1955 年,中国目录学家余嘉锡逝世,,event
1月23日,1957 年,世界上第一台醉酒呼吸分析仪在瑞典使用,,event
1月23日,1958 年,皮卡尔与沃什在马里亚纳海沟创造了下潜最深纪录,,event
1月23日,1973年,美国最高法院判决妇女有堕胎权,,event
1月23日,1993 年,中国开国少将孔飞逝世,,event
1月23日,2004 年,人类首次在火星表面发现水,,event
1月23日,2013 年,国学大师杨树达之子杨德豫逝世,,event
1月24日,76年,罗马皇帝哈德良出生,,event
1月24日,756年,中国唐朝名将封常清逝世,,event
1月24日,1632年,日本幕府将军德川秀忠逝世,,event
1月24日,1679年,苏格兰及英格兰国王查理二世解散议会,,event
1月24日,1712年,普鲁士国王腓特烈大帝出生,,event
1月24日,1791年,法国雕塑家法尔科内逝世,,event
1月24日,1828年,细菌学奠基人之一费迪南德·科恩出生,,event
1月24日,1851年,意大利指挥家斯蓬蒂尼逝世,,event
1月24日,1891年,德国陆军元帅奥托·莫里茨·瓦尔特·莫德尔出生,,event
1月24日,1924年,近代中国最著名的一所军事学校黄埔军校开始筹建,,event
1月24日,1930年,当代中国杰出经济学家吴敬琏出生,,event
1月24日,1958年,英美科学家完成核聚变试验,,event
1月24日,1965年,英国前首相、政治家温斯顿·丘吉尔逝世,,event
1月24日,2011年,香港传奇商人罗兆辉逝世,,event
1月25日,824年,中国唐代文学家韩愈病逝,,event
1月25日,1504年,意大利艺术家米开朗基罗完成大卫雕像,,event
1月25日,1627年,英国物理化学家罗伯特·波义耳出生,,event
1月25日,1736年,意大利数学家、力学家拉格朗日出生,,event
1月25日,1759年,18世纪著名苏格兰诗人罗伯特·彭斯出生,,event
1月25日,1805年,“刘罗锅”刘墉逝世,,event
1月25日,1874年,英国小说家、戏剧家毛姆出生,,event
1月25日,1881年,美国发明家、企业家爱迪生和贝尔成立东方电话公司,,event
1月25日,1886年,德国20世纪最伟大的指挥家富特文格勒出生,,event
1月25日,1911年,中国第一部专门刑法典颁布,,event
1月25日,1912年,袁世凯及各北洋军阀将领通电支持共和,,event
1月25日,1924年,第一届奥林匹克冬季运动会在夏蒙尼开幕,,event
1月25日,1949年,日本帝国时期的政治家牧野伸显逝世,,event
1月25日,1979年,中国左翼文学运动开创者之一郑伯奇逝世,,event
1月25日,1988年,中国著名昆虫学家、进化分类学家陈世骧逝世,,event
1月26日,183 年,被誉为绝世美女的文昭皇后甄氏出生,,event
1月26日,1205 年,南宋皇帝宋理宗赵昀出生,,event
1月26日,1210 年,中国著名爱国诗人陆游逝世,,event
1月26日,1291 年,元世祖命郭守敬开凿通惠河,,event
1月26日,1841 年,英国占领香港岛，香港开始成为英国殖民地,,event
1月26日,1880 年,美国陆军五星上将道格拉斯·麦克阿瑟出生,,event
1月26日,1885 年,英国军官查理·乔治·戈登逝世,,event
1月26日,1910 年,巴黎卢浮宫被洪水包围造成上亿美元损失,,event
1月26日,1918 年,罗马尼亚第一任总统尼古拉·齐奥塞斯库出生,,event
1月26日,1921 年,日本Sony索尼公司的创始人盛田昭夫出生,,event
1月26日,1939 年,佛朗哥占领巴塞罗那,,event
1月26日,1953 年,美国索尔克博士制成小儿麻痹症免疫新疫苗,,event
1月26日,1982 年,苏联共产党副总书记苏斯洛夫去世,,event
1月26日,2008 年,中国外交官章含之去世,,event
1月26日,2009 年,中国及香港女歌手张露逝世,,event
1月27日,1142 年,中国著名军事家、南宋将领岳飞逝世,,event
1月27日,1688 年,清康熙朝帝祖母孝庄文皇后去世，她一生辅佐顺治、康熙两朝皇帝,,event
1月27日,1756 年,奥地利作曲家、“音乐神童”莫扎特出生,,event
1月27日,1832 年,英国作家、数学家路易斯·卡罗出生,,event
1月27日,1848 年,日本元帅、海军大将东乡平八郎出生,,event
1月27日,1887 年,法国埃菲尔铁塔开工,,event
1月27日,1888 年,国家地理学会成立,,event
1月27日,1893 年,民主主义战士宋庆龄出生,,event
1月27日,1901 年,意大利音乐大师朱塞佩·威尔第去世,,event
1月27日,1910 年,中国著名作家、翻译家萧乾出生,,event
1月27日,1926 年,苏格兰发明家约翰·洛吉·贝尔德发明电视,,event
1月27日,1937 年,美国遭受严重水灾，100万人无家可归,,event
1月27日,1956 年,奥地利指挥家埃里希·克莱伯逝世,,event
1月27日,1982 年,瓦尔德海姆获“联合国和平奖”,,event
1月27日,2010 年,美国作家 杰罗姆·大卫·塞林格逝世,,event
1月28日,419年,中国东晋的第十位皇帝司马德宗逝世,,event
1月28日,1115年,完颜阿骨打建立金朝,,event
1月28日,1457年,英格兰国王亨利七世出生,,event
1月28日,1547年,英格兰国王、都铎王朝的第二任君主亨利八世逝世,,event
1月28日,1833年,英国军官查理·乔治·戈登出生,,event
1月28日,1887年,波兰钢琴家阿图尔·鲁宾斯坦出生,,event
1月28日,1892年,苏联军事首长、苏联英雄秋列涅夫出生,,event
1月28日,1918年,利昂托洛茨基正式组建苏联红军,,event
1月28日,1924年,日本第24任首相加藤高明逝世,,event
1月28日,1932年,上海一·二八事变爆发,,event
1月28日,1939年,爱尔兰诗人、剧作家威廉·巴特勒·叶芝逝世,,event
1月28日,1940年,墨西哥电信大亨卡洛斯·斯利姆·埃卢出生,,event
1月28日,1956年,中国大陆通过《简化字总表》,,event
1月28日,1986年,美国挑战者号航天飞机在执行第10次太空任务时意外爆炸,,event
1月28日,2013年,中国物理学家许良英逝世,,event
1月29日,1737 年,北美宣传鼓动家托马斯·潘恩出生,,event
1月29日,1820 年,英国国王乔治三世逝世,,event
1月29日,1859 年,哈佛大学天文台的首任台长威廉·邦德逝世,,event
1月29日,1860 年,俄国戏剧家契诃夫出生,,event
1月29日,1866 年,法国剧作家罗曼·罗兰出生,,event
1月29日,1886 年,世界上第一辆汽车的专利权产生,,event
1月29日,1899 年,中国共产党的早期领导人瞿秋白出生,,event
1月29日,1906 年,丹麦国王克里斯蒂安九世逝世,,event
1月29日,1916 年,德军首次动用飞艇袭击巴黎,,event
1月29日,1934 年,德国化学家，第一个从空气中制造出氨的科学家弗里茨·哈伯逝世,,event
1月29日,1945 年,美军在菲律宾巴丹半岛登陆,,event
1月29日,1953 年,著名音乐艺术家邓丽君出生,,event
1月29日,1987 年,朱经武等人宣布首次得到了90K以上的超导体,,event
1月29日,1996 年,意大利威尼斯凤凰歌剧院在火灾中完全烧毁（图）,,event
1月29日,2008 年,玛丽·玛格丽特·杜鲁门·丹尼尔逝世,,event
1月30日,1595年,威廉·莎士比亚的《罗密欧与朱丽叶》首演,,event
